"Feature_1","Feature_2","Chi_Squared","P_Value","Cramers_V"
"impact","priority",116822.095279271,0,0.921698834176812
"urgency","priority",116344.824849246,0,0.919814131567235
"category","subcategory",2043830.13210922,0,0.771043600555146
"impact","urgency",78517.8079364921,0,0.75563249465695
"u_symptom","knowledge",23030.0321522937,0,0.578747079505933
"subcategory","u_symptom",4074129.79149536,0,0.531189306028554
"category","u_symptom",921069.094773161,0,0.517609982407688
"subcategory","knowledge",16481.5802533246,0,0.489599499400159
"subcategory","assignment_group",1017720.24419775,0,0.447239225999048
"category","knowledge",11022.5747542105,0,0.400389856740995
"category","assignment_group",420825.019193949,0,0.349870490706222
"u_symptom","assignment_group",618830.684593951,0,0.348747899427354
"u_symptom","urgency",11200.6546242345,0,0.28539623887501
"u_symptom","priority",16377.7038647018,0,0.281778219141839
"u_symptom","impact",10748.827048226,0,0.279580630537568
"subcategory","priority",12745.0131309763,0,0.248571341764874
"subcategory","urgency",8210.58514374201,0,0.24435070536946
"location","knowledge",3932.73057539997,0,0.239160051169678
"location","assignment_group",289239.237659697,0,0.238426368792451
"subcategory","impact",7485.4845527264,0,0.233311691198984
"location","u_symptom",613252.170811718,0,0.221984065011077
"impact","assignment_group",6477.55679162442,0,0.217036190123631
"priority","assignment_group",8478.33902939375,0,0.202738534325455
"location","category",136809.002071431,0,0.199486667658025
"urgency","assignment_group",5055.0259094762,0,0.191729189096191
"u_symptom","u_priority_confirmation",2252.0132700907,1.38129931434307e-247,0.180978511935462
"location","impact",4491.34057052905,0,0.180723461614297
"assignment_group","knowledge",2231.39600441645,0,0.180148174602324
"location","priority",6610.17581663351,0,0.179014173795643
"assignment_group","u_priority_confirmation",1990.15056069648,0,0.17013141221643
"location","subcategory",350096.666929296,0,0.167724397686468
"category","urgency",3659.40046636387,0,0.163129127008353
"category","priority",5443.95904522193,0,0.162456965791004
"category","impact",3596.89887495116,0,0.161730026054254
"knowledge","u_priority_confirmation",1782.75054677539,0,0.161022598022689
"location","urgency",3419.29130028825,0,0.157686528846637
"subcategory","u_priority_confirmation",1555.8946423125,7.07978905023506e-204,0.150429022348609
"priority","knowledge",901.111814065979,5.08003078668085e-195,0.114480332496835
"category","u_priority_confirmation",897.5689002295,9.44937343796102e-156,0.114255058894173
"urgency","knowledge",775.919061798082,3.24576093395821e-169,0.106230628500485
"location","u_priority_confirmation",712.067263606102,4.63437592646908e-64,0.101765846715483
"impact","knowledge",658.486426020155,1.02680833565415e-143,0.097862195278894
"priority","u_priority_confirmation",248.019710436901,1.7543971605614e-53,0.0600599046518632
"urgency","u_priority_confirmation",84.8004128272173,3.85322458879987e-19,0.0351188692057335
"impact","u_priority_confirmation",59.6005767229712,1.14261311727043e-13,0.0294419636001348
